symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base
3,?,alfa-romero,gas,std,two,convertible,rwd,front,88.6
3,?,alfa-romero,gas,std,two,convertible,rwd,front,88.6
1,?,alfa-romero,gas,std,two,hatchback,rwd,front,94.5
2,164,audi,gas,std,four,sedan,fwd,front,99.8
2,164,audi,gas,std,four,sedan,4wd,front,99.4
2,?,audi,gas,std,two,sedan,fwd,front,99.8
1,158,audi,gas,std,four,sedan,fwd,front,105.8
1,?,audi,gas,std,four,wagon,fwd,front,105.8
1,158,audi,gas,turbo,four,sedan,fwd,front,105.8
0,?,audi,gas,turbo,two,hatchback,4wd,front,99.5
2,192,bmw,gas,std,two,sedan,rwd,front,101.2
0,192,bmw,gas,std,four,sedan,rwd,front,101.2
0,188,bmw,gas,std,two,sedan,rwd,front,101.2
0,188,bmw,gas,std,four,sedan,rwd,front,101.2
1,?,bmw,gas,std,four,sedan,rwd,front,103.5
0,?,bmw,gas,std,four,sedan,rwd,front,103.5
0,?,bmw,gas,std,two,sedan,rwd,front,103.5
0,?,bmw,gas,std,four,sedan,rwd,front,110
2,121,chevrolet,gas,std,two,hatchback,fwd,front,88.4
1,98,chevrolet,gas,std,two,hatchback,fwd,front,94.5
0,81,chevrolet,gas,std,four,sedan,fwd,front,94.5
1,118,dodge,gas,std,two,hatchback,fwd,front,93.7
1,118,dodge,gas,std,two,hatchback,fwd,front,93.7
1,118,dodge,gas,turbo,two,hatchback,fwd,front,93.7
1,148,dodge,gas,std,four,hatchback,fwd,front,93.7
1,148,dodge,gas,std,four,sedan,fwd,front,93.7
1,148,dodge,gas,std,four,sedan,fwd,front,93.7
1,148,dodge,gas,turbo,?,sedan,fwd,front,93.7
-1,110,dodge,gas,std,four,wagon,fwd,front,103.3
3,145,dodge,gas,turbo,two,hatchback,fwd,front,95.9
2,137,honda,gas,std,two,hatchback,fwd,front,86.6
2,137,honda,gas,std,two,hatchback,fwd,front,86.6
1,101,honda,gas,std,two,hatchback,fwd,front,93.7
1,101,honda,gas,std,two,hatchback,fwd,front,93.7
1,101,honda,gas,std,two,hatchback,fwd,front,93.7
0,110,honda,gas,std,four,sedan,fwd,front,96.5
0,78,honda,gas,std,four,wagon,fwd,front,96.5
0,106,honda,gas,std,two,hatchback,fwd,front,96.5
0,106,honda,gas,std,two,hatchback,fwd,front,96.5
0,85,honda,gas,std,four,sedan,fwd,front,96.5
